"categoria";"temps"
"CATEGORIA C F";"00:58:08"
"CATEGORIA A F";"00:58:08"
"CATEGORIA C M";"00:58:08"
"CATEGORIA B M";"00:58:09"
"CATEGORIA C F";"00:58:09"
"CATEGORIA A M";"00:58:09"
"CATEGORIA C M";"00:58:09"
"CATEGORIA C M";"00:58:09"
"CATEGORIA C M";"00:58:10"
"CATEGORIA C M";"00:58:10"
"CATEGORIA B F";"00:58:11"
"CATEGORIA C M";"00:58:11"
"CATEGORIA B F";"00:58:13"
"CATEGORIA B M";"00:58:13"
"CATEGORIA C M";"00:58:18"
"CATEGORIA C M";"00:58:18"
"CATEGORIA C F";"00:58:19"
"CATEGORIA C M";"00:58:19"
"CATEGORIA C M";"00:58:20"
"CATEGORIA C M";"00:58:20"
"CATEGORIA C M";"00:58:20"
"CATEGORIA C F";"00:58:21"
"CATEGORIA C M";"00:58:22"
"CATEGORIA C F";"00:58:23"
"CATEGORIA B F";"00:58:25"
"CATEGORIA C F";"00:58:25"
"CATEGORIA C F";"00:58:25"
"CATEGORIA C M";"00:58:25"
"CATEGORIA C F";"00:58:26"
"CATEGORIA C M";"00:58:28"
"CATEGORIA C M";"00:58:28"
"CATEGORIA C M";"00:58:30"
"CATEGORIA C M";"00:58:31"
"CATEGORIA B M";"00:58:32"
"CATEGORIA C M";"00:58:32"
"CATEGORIA C M";"00:58:33"
"CATEGORIA B F";"00:58:35"
"CATEGORIA B M";"00:58:38"
"CATEGORIA B M";"00:58:39"
"CATEGORIA C F";"00:58:44"
"CATEGORIA C M";"00:58:44"
"CATEGORIA C F";"00:58:45"
"CATEGORIA C M";"00:58:45"
"CATEGORIA C F";"00:58:45"
"CATEGORIA B M";"00:58:45"
"CATEGORIA C M";"00:58:45"
"CATEGORIA C F";"00:58:47"
"CATEGORIA C M";"00:58:48"
"CATEGORIA C F";"00:58:51"
"CATEGORIA C M";"00:58:51"
"CATEGORIA C M";"00:58:52"
"CATEGORIA C M";"00:58:53"
"CATEGORIA B M";"00:58:54"
"CATEGORIA C M";"00:58:57"
"CATEGORIA C F";"00:59:00"
"CATEGORIA B F";"00:59:00"
"CATEGORIA C M";"00:59:01"
"CATEGORIA C M";"00:59:02"
"CATEGORIA C F";"00:59:06"
"CATEGORIA C F";"00:59:07"
"CATEGORIA C M";"00:59:07"
"CATEGORIA C F";"00:59:10"
"CATEGORIA B M";"00:59:10"
"CATEGORIA C F";"00:59:11"
"CATEGORIA B F";"00:59:11"
"CATEGORIA C F";"00:59:11"
"CATEGORIA C F";"00:59:11"
"CATEGORIA C F";"00:59:13"
"CATEGORIA B M";"00:59:18"
"CATEGORIA C M";"00:59:21"
"CATEGORIA C M";"00:59:22"
"CATEGORIA B F";"00:59:25"
"CATEGORIA C M";"00:59:25"
"CATEGORIA C M";"00:59:25"
"CATEGORIA C M";"00:59:27"
"CATEGORIA C M";"00:59:29"
"CATEGORIA C M";"00:59:29"
"CATEGORIA C F";"00:59:30"
"CATEGORIA B M";"00:59:30"
"CATEGORIA C M";"00:59:31"
"CATEGORIA C F";"00:59:33"
"CATEGORIA A M";"00:59:33"
"CATEGORIA C F";"00:59:38"
"CATEGORIA C M";"00:59:38"
"CATEGORIA C M";"00:59:39"
"CATEGORIA B M";"00:59:41"
"CATEGORIA C M";"00:59:41"
"CATEGORIA B F";"00:59:42"
"CATEGORIA B F";"00:59:44"
"CATEGORIA B F";"00:59:45"
"CATEGORIA C F";"00:59:45"
"CATEGORIA C M";"00:59:46"
"CATEGORIA C M";"00:59:46"
"CATEGORIA C M";"00:59:46"
"CATEGORIA C M";"00:59:47"
"CATEGORIA C F";"00:59:49"
"CATEGORIA C F";"00:59:50"
"CATEGORIA C M";"00:59:52"
"CATEGORIA C M";"00:59:52"
"CATEGORIA C F";"00:59:53"
"CATEGORIA C F";"00:59:54"
"CATEGORIA C M";"00:59:54"
"CATEGORIA C M";"00:59:55"
"CATEGORIA C F";"00:59:56"
"CATEGORIA C F";"00:59:57"
"CATEGORIA C M";"00:59:58"
"CATEGORIA C F";"00:59:59"
"CATEGORIA C F";"01:00:01"
"CATEGORIA C M";"01:00:04"
"CATEGORIA C M";"01:00:06"
"CATEGORIA C F";"01:00:07"
"CATEGORIA C M";"01:00:10"
"CATEGORIA C F";"01:00:11"
"CATEGORIA B F";"01:00:12"
"CATEGORIA B F";"01:00:12"
"CATEGORIA C F";"01:00:14"
"CATEGORIA C F";"01:00:17"
"CATEGORIA C M";"01:00:17"
"CATEGORIA C M";"01:00:19"
"CATEGORIA A F";"01:00:22"
"CATEGORIA C M";"01:00:22"
"CATEGORIA C F";"01:00:23"
"CATEGORIA C M";"01:00:23"
"CATEGORIA C F";"01:00:28"
"CATEGORIA A F";"01:00:30"
"CATEGORIA C M";"01:00:30"
"CATEGORIA B M";"01:00:33"
"CATEGORIA C M";"01:00:36"
"CATEGORIA C F";"01:00:39"
"CATEGORIA C M";"01:00:39"
"CATEGORIA C M";"01:00:41"
"CATEGORIA C M";"01:00:41"
"CATEGORIA C M";"01:00:45"
"CATEGORIA B M";"01:00:47"
"CATEGORIA C M";"01:00:47"
"CATEGORIA C F";"01:00:53"
"CATEGORIA C F";"01:00:54"
"CATEGORIA C M";"01:00:58"
"CATEGORIA C F";"01:00:59"
"CATEGORIA C F";"01:00:59"
"CATEGORIA C M";"01:00:59"
"CATEGORIA C F";"01:01:00"
"CATEGORIA B F";"01:01:00"
"CATEGORIA C M";"01:01:05"
"CATEGORIA C M";"01:01:05"
"CATEGORIA C F";"01:01:07"
"CATEGORIA C M";"01:01:09"
"CATEGORIA C M";"01:01:09"
"CATEGORIA C F";"01:01:11"
"CATEGORIA C M";"01:01:11"
"CATEGORIA C M";"01:01:11"
"CATEGORIA C M";"01:01:14"
"CATEGORIA C M";"01:01:15"
"CATEGORIA C F";"01:01:16"
"CATEGORIA C M";"01:01:18"
"CATEGORIA C M";"01:01:18"
"CATEGORIA C M";"01:01:21"
"CATEGORIA B M";"01:01:23"
"CATEGORIA B F";"01:01:24"
"CATEGORIA C F";"01:01:24"
"CATEGORIA C F";"01:01:25"
"CATEGORIA C M";"01:01:26"
"CATEGORIA C M";"01:01:27"
"CATEGORIA C M";"01:01:28"
"CATEGORIA C M";"01:01:29"
"CATEGORIA C M";"01:01:31"
"CATEGORIA C M";"01:01:32"
"CATEGORIA C M";"01:01:32"
"CATEGORIA C M";"01:01:33"
"CATEGORIA C F";"01:01:34"
"CATEGORIA B F";"01:01:34"
"CATEGORIA C M";"01:01:37"
"CATEGORIA C M";"01:01:40"
"CATEGORIA C M";"01:01:40"
"CATEGORIA C F";"01:01:41"
"CATEGORIA B F";"01:01:41"
"CATEGORIA C M";"01:01:45"
"CATEGORIA C M";"01:01:45"
"CATEGORIA B F";"01:01:47"
"CATEGORIA C M";"01:01:48"
"CATEGORIA C M";"01:01:50"
"CATEGORIA B F";"01:01:53"
"CATEGORIA C M";"01:01:53"
"CATEGORIA C M";"01:01:53"
"CATEGORIA C M";"01:01:55"
"CATEGORIA C M";"01:01:55"
"CATEGORIA C F";"01:01:57"
"CATEGORIA C M";"01:02:00"
"CATEGORIA B F";"01:02:01"
"CATEGORIA C M";"01:02:01"
"CATEGORIA C M";"01:02:01"
"CATEGORIA C F";"01:02:02"
"CATEGORIA C M";"01:02:03"
"CATEGORIA C M";"01:02:06"
"CATEGORIA B M";"01:02:08"
"CATEGORIA B F";"01:02:11"
"CATEGORIA C F";"01:02:13"
"CATEGORIA C M";"01:02:13"
"CATEGORIA C M";"01:02:14"
"CATEGORIA C M";"01:02:14"
"CATEGORIA C F";"01:02:15"
"CATEGORIA B F";"01:02:16"
"CATEGORIA C M";"01:02:17"
"CATEGORIA C F";"01:02:18"
"CATEGORIA C M";"01:02:21"
"CATEGORIA A M";"01:02:23"
"CATEGORIA C M";"01:02:28"
"CATEGORIA C M";"01:02:28"
"CATEGORIA C F";"01:02:29"
"CATEGORIA C M";"01:02:30"
"CATEGORIA B F";"01:02:37"
"CATEGORIA C F";"01:02:37"
"CATEGORIA C F";"01:02:37"
"CATEGORIA C M";"01:02:39"
"CATEGORIA C M";"01:02:39"
"CATEGORIA C M";"01:02:39"
"CATEGORIA C M";"01:02:40"
"CATEGORIA C M";"01:02:40"
"CATEGORIA C F";"01:02:41"
"CATEGORIA B F";"01:02:41"
"CATEGORIA C M";"01:02:41"
"CATEGORIA C F";"01:02:41"
"CATEGORIA B F";"01:02:43"
"CATEGORIA A M";"01:02:47"
"CATEGORIA C M";"01:02:47"
"CATEGORIA C M";"01:02:49"
"CATEGORIA C M";"01:02:49"
"CATEGORIA C M";"01:02:50"
"CATEGORIA B M";"01:02:51"
"CATEGORIA C F";"01:02:53"
"CATEGORIA B F";"01:02:56"
"CATEGORIA C M";"01:02:57"
"CATEGORIA C F";"01:02:59"
"CATEGORIA C F";"01:03:00"
"CATEGORIA C M";"01:03:02"
"CATEGORIA C M";"01:03:02"
"CATEGORIA C F";"01:03:03"
"CATEGORIA B F";"01:03:04"
"CATEGORIA C M";"01:03:05"
"CATEGORIA B M";"01:03:05"
"CATEGORIA C M";"01:03:10"
"CATEGORIA C M";"01:03:10"
"CATEGORIA A F";"01:03:11"
"CATEGORIA C M";"01:03:14"
"CATEGORIA C F";"01:03:15"
"CATEGORIA C F";"01:03:18"
"CATEGORIA C F";"01:03:18"
"CATEGORIA A M";"01:03:18"
"CATEGORIA C F";"01:03:22"
"CATEGORIA C F";"01:03:23"
"CATEGORIA C M";"01:03:26"
"CATEGORIA C F";"01:03:28"
"CATEGORIA B M";"01:03:28"
"CATEGORIA C M";"01:03:30"
"CATEGORIA B M";"01:03:31"
"CATEGORIA C M";"01:03:31"
"CATEGORIA C M";"01:03:33"
"CATEGORIA C F";"01:03:36"
"CATEGORIA C M";"01:03:36"
"CATEGORIA C M";"01:03:36"
"CATEGORIA C M";"01:03:38"
"CATEGORIA B M";"01:03:43"
"CATEGORIA C F";"01:03:44"
"CATEGORIA C F";"01:03:45"
"CATEGORIA C M";"01:03:45"
"CATEGORIA C M";"01:03:47"
"CATEGORIA C M";"01:03:50"
"CATEGORIA C M";"01:03:50"
"CATEGORIA B M";"01:03:50"
"CATEGORIA B M";"01:03:51"
"CATEGORIA C F";"01:03:52"
"CATEGORIA C F";"01:03:56"
"CATEGORIA C F";"01:04:00"
"CATEGORIA C M";"01:04:00"
"CATEGORIA B M";"01:04:00"
"CATEGORIA C M";"01:04:03"
"CATEGORIA C F";"01:04:05"
"CATEGORIA B M";"01:04:05"
"CATEGORIA C M";"01:04:06"
"CATEGORIA B M";"01:04:06"
"CATEGORIA C M";"01:04:07"
"CATEGORIA C M";"01:04:17"
"CATEGORIA C M";"01:04:19"
"CATEGORIA C F";"01:04:21"
"CATEGORIA C F";"01:04:22"
"CATEGORIA B F";"01:04:29"
"CATEGORIA C M";"01:04:30"
"CATEGORIA C F";"01:04:32"
"CATEGORIA C F";"01:04:35"
"CATEGORIA C F";"01:04:37"
"CATEGORIA B M";"01:04:40"
"CATEGORIA C M";"01:04:40"
"CATEGORIA C F";"01:04:42"
"CATEGORIA B F";"01:04:44"
"CATEGORIA C F";"01:04:44"
"CATEGORIA A M";"01:04:45"
"CATEGORIA C M";"01:04:49"
"CATEGORIA B M";"01:04:49"
"CATEGORIA B F";"01:04:53"
"CATEGORIA B M";"01:04:53"
"CATEGORIA C M";"01:04:58"
"CATEGORIA B F";"01:04:59"
"CATEGORIA C F";"01:05:00"
"CATEGORIA B F";"01:05:05"
"CATEGORIA C F";"01:05:12"
"CATEGORIA C F";"01:05:14"
"CATEGORIA C M";"01:05:15"
"CATEGORIA C M";"01:05:18"
"CATEGORIA B M";"01:05:23"
"CATEGORIA C M";"01:05:25"
"CATEGORIA C M";"01:05:25"
"CATEGORIA C M";"01:05:27"
"CATEGORIA B M";"01:05:28"
"CATEGORIA C F";"01:05:29"
"CATEGORIA C M";"01:05:31"
"CATEGORIA C F";"01:05:32"
"CATEGORIA C F";"01:05:34"
"CATEGORIA C M";"01:05:37"
"CATEGORIA C M";"01:05:37"
"CATEGORIA C F";"01:05:38"
"CATEGORIA C M";"01:05:38"
"CATEGORIA C F";"01:05:44"
"CATEGORIA B M";"01:05:51"
"CATEGORIA C M";"01:05:52"
"CATEGORIA C M";"01:05:55"
"CATEGORIA C M";"01:05:58"
"CATEGORIA C M";"01:06:00"
"CATEGORIA C M";"01:06:00"
"CATEGORIA B F";"01:06:01"
"CATEGORIA C F";"01:06:03"
"CATEGORIA C M";"01:06:04"
"CATEGORIA C F";"01:06:06"
"CATEGORIA C M";"01:06:07"
"CATEGORIA C M";"01:06:11"
"CATEGORIA C M";"01:06:12"
"CATEGORIA C F";"01:06:13"
"CATEGORIA C M";"01:06:15"
"CATEGORIA C F";"01:06:20"
"CATEGORIA C F";"01:06:20"
"CATEGORIA C F";"01:06:21"
"CATEGORIA B M";"01:06:21"
"CATEGORIA C M";"01:06:22"
"CATEGORIA C M";"01:06:34"
"CATEGORIA B F";"01:06:37"
"CATEGORIA C F";"01:06:37"
"CATEGORIA B F";"01:06:38"
"CATEGORIA C F";"01:06:40"
"CATEGORIA C F";"01:06:41"
"CATEGORIA B M";"01:06:43"
"CATEGORIA C M";"01:06:43"
"CATEGORIA C M";"01:06:44"
"CATEGORIA B M";"01:06:45"
"CATEGORIA C F";"01:06:47"
"CATEGORIA B F";"01:06:49"
"CATEGORIA C F";"01:06:49"
"CATEGORIA C M";"01:06:49"
"CATEGORIA C F";"01:06:50"
"CATEGORIA B F";"01:06:51"
"CATEGORIA C F";"01:06:55"
"CATEGORIA B F";"01:06:57"
"CATEGORIA C F";"01:06:57"
"CATEGORIA C F";"01:06:59"
"CATEGORIA C F";"01:07:04"
"CATEGORIA C F";"01:07:06"
"CATEGORIA C F";"01:07:08"
"CATEGORIA B M";"01:07:09"
"CATEGORIA C M";"01:07:09"
"CATEGORIA C M";"01:07:12"
"CATEGORIA C M";"01:07:12"
"CATEGORIA C M";"01:07:14"
"CATEGORIA C M";"01:07:16"
"CATEGORIA C M";"01:07:17"
"CATEGORIA C M";"01:07:18"
"CATEGORIA C M";"01:07:19"
"CATEGORIA C M";"01:07:21"
"CATEGORIA C F";"01:07:24"
"CATEGORIA B M";"01:07:24"
"CATEGORIA C M";"01:07:28"
"CATEGORIA C M";"01:07:31"
"CATEGORIA C M";"01:07:32"
"CATEGORIA C F";"01:07:35"
"CATEGORIA C F";"01:07:35"
"CATEGORIA C F";"01:07:37"
"CATEGORIA A M";"01:07:37"
"CATEGORIA C M";"01:07:37"
"CATEGORIA C M";"01:07:38"
"CATEGORIA C M";"01:07:38"
"CATEGORIA C F";"01:07:39"
"CATEGORIA C F";"01:07:41"
"CATEGORIA C M";"01:07:42"
"CATEGORIA A F";"01:07:57"
"CATEGORIA C M";"01:07:58"
"CATEGORIA C F";"01:08:00"
"CATEGORIA C M";"01:08:00"
"CATEGORIA A M";"01:08:01"
"CATEGORIA B M";"01:08:08"
"CATEGORIA C M";"01:08:09"
"CATEGORIA B F";"01:08:11"
"CATEGORIA C M";"01:08:14"
"CATEGORIA C F";"01:08:15"
"CATEGORIA C M";"01:08:16"
"CATEGORIA C M";"01:08:18"
"CATEGORIA C F";"01:08:22"
"CATEGORIA C F";"01:08:27"
"CATEGORIA C M";"01:08:27"
"CATEGORIA C M";"01:08:28"
"CATEGORIA C F";"01:08:30"
"CATEGORIA C M";"01:08:30"
"CATEGORIA C M";"01:08:34"
"CATEGORIA C M";"01:08:37"
"CATEGORIA C M";"01:08:37"
"CATEGORIA C F";"01:08:38"
"CATEGORIA C M";"01:08:38"
"CATEGORIA B F";"01:08:40"
"CATEGORIA B F";"01:08:45"
"CATEGORIA C F";"01:08:47"
"CATEGORIA C M";"01:08:48"
"CATEGORIA B F";"01:08:52"
"CATEGORIA C M";"01:08:54"
"CATEGORIA C F";"01:08:55"
"CATEGORIA C F";"01:08:55"
"CATEGORIA B M";"01:08:59"
"CATEGORIA C M";"01:09:02"
"CATEGORIA C F";"01:09:03"
"CATEGORIA A F";"01:09:07"
"CATEGORIA C M";"01:09:14"
"CATEGORIA C F";"01:09:15"
"CATEGORIA C M";"01:09:15"
"CATEGORIA C M";"01:09:15"
"CATEGORIA C F";"01:09:17"
"CATEGORIA C M";"01:09:18"
"CATEGORIA B F";"01:09:19"
"CATEGORIA C M";"01:09:19"
"CATEGORIA C F";"01:09:26"
"CATEGORIA C M";"01:09:28"
"CATEGORIA C M";"01:09:28"
"CATEGORIA C F";"01:09:35"
"CATEGORIA C M";"01:09:35"
"CATEGORIA C M";"01:09:42"
"CATEGORIA B F";"01:09:46"
"CATEGORIA C M";"01:09:53"
"CATEGORIA B F";"01:09:55"
"CATEGORIA C F";"01:09:58"
"CATEGORIA C F";"01:09:58"
"CATEGORIA C M";"01:09:58"
"CATEGORIA C M";"01:09:59"
"CATEGORIA C M";"01:10:00"
"CATEGORIA C M";"01:10:00"
"CATEGORIA C M";"01:10:03"
"CATEGORIA C M";"01:10:06"
"CATEGORIA C M";"01:10:09"
"CATEGORIA C M";"01:10:13"
"CATEGORIA C M";"01:10:13"
"CATEGORIA C F";"01:10:21"
"CATEGORIA C M";"01:10:21"
"CATEGORIA C F";"01:10:23"
"CATEGORIA B M";"01:10:28"
"CATEGORIA B F";"01:10:29"
"CATEGORIA C M";"01:10:30"
"CATEGORIA C M";"01:10:32"
"CATEGORIA C F";"01:10:35"
"CATEGORIA C M";"01:10:36"
"CATEGORIA C M";"01:10:44"
"CATEGORIA C M";"01:10:50"
"CATEGORIA C F";"01:10:51"
"CATEGORIA C F";"01:10:56"
"CATEGORIA B F";"01:10:57"
"CATEGORIA C M";"01:10:57"
"CATEGORIA B F";"01:11:01"
"CATEGORIA C M";"01:11:02"
"CATEGORIA C M";"01:11:04"
"CATEGORIA C M";"01:11:09"
"CATEGORIA B M";"01:11:09"
"CATEGORIA B F";"01:11:11"
"CATEGORIA C M";"01:11:14"
"CATEGORIA C F";"01:11:16"
"CATEGORIA C F";"01:11:16"
"CATEGORIA C M";"01:11:19"
"CATEGORIA C M";"01:11:21"
"CATEGORIA C M";"01:11:26"
"CATEGORIA C M";"01:11:27"
"CATEGORIA C M";"01:11:32"
"CATEGORIA A F";"01:11:36"
"CATEGORIA C F";"01:11:37"
"CATEGORIA C F";"01:11:38"
"CATEGORIA B F";"01:11:52"
"CATEGORIA C M";"01:11:52"
"CATEGORIA C F";"01:11:53"
"CATEGORIA C M";"01:11:53"
"CATEGORIA B F";"01:11:56"
"CATEGORIA C M";"01:11:56"
"CATEGORIA C M";"01:11:56"
"CATEGORIA C M";"01:12:03"
"CATEGORIA B F";"01:12:11"
"CATEGORIA C F";"01:12:13"
"CATEGORIA C F";"01:12:17"
"CATEGORIA B M";"01:12:18"
"CATEGORIA B F";"01:12:22"
"CATEGORIA C M";"01:12:24"
"CATEGORIA C M";"01:12:25"
"CATEGORIA C M";"01:12:33"
"CATEGORIA B F";"01:12:44"
"CATEGORIA A M";"01:12:48"
"CATEGORIA B M";"01:12:59"
"CATEGORIA C M";"01:13:00"
"CATEGORIA C F";"01:13:01"
"CATEGORIA C M";"01:13:11"
"CATEGORIA C M";"01:13:14"
"CATEGORIA C M";"01:13:14"
"CATEGORIA C F";"01:13:16"
"CATEGORIA A M";"01:13:18"
"CATEGORIA C F";"01:13:22"
"CATEGORIA C F";"01:13:25"
"CATEGORIA B F";"01:13:27"
"CATEGORIA C M";"01:13:37"
"CATEGORIA C M";"01:13:44"
"CATEGORIA C F";"01:13:49"
"CATEGORIA B M";"01:13:51"
"CATEGORIA C M";"01:13:52"
"CATEGORIA C M";"01:13:52"
"CATEGORIA B F";"01:13:57"
"CATEGORIA C F";"01:13:57"
"CATEGORIA C M";"01:13:57"
"CATEGORIA C F";"01:14:00"
"CATEGORIA B M";"01:14:03"
"CATEGORIA C F";"01:14:10"
"CATEGORIA C M";"01:14:19"
"CATEGORIA C M";"01:14:20"
"CATEGORIA C M";"01:14:20"
"CATEGORIA C M";"01:14:25"
"CATEGORIA C M";"01:14:28"
"CATEGORIA C F";"01:14:34"
"CATEGORIA C M";"01:14:38"
"CATEGORIA C M";"01:14:44"
"CATEGORIA C M";"01:14:50"
"CATEGORIA C M";"01:14:52"
"CATEGORIA C F";"01:14:53"
"CATEGORIA C F";"01:14:58"
"CATEGORIA C F";"01:14:58"
"CATEGORIA C M";"01:15:02"
"CATEGORIA C F";"01:15:04"
"CATEGORIA C F";"01:15:10"
"CATEGORIA C M";"01:15:10"
"CATEGORIA C M";"01:15:12"
"CATEGORIA C M";"01:15:13"
"CATEGORIA C M";"01:15:22"
"CATEGORIA C M";"01:15:25"
"CATEGORIA C M";"01:15:32"
"CATEGORIA C M";"01:15:34"
"CATEGORIA C M";"01:15:36"
"CATEGORIA C M";"01:15:37"
"CATEGORIA C M";"01:15:40"
"CATEGORIA C F";"01:15:58"
"CATEGORIA B F";"01:15:59"
"CATEGORIA C M";"01:16:02"
"CATEGORIA C F";"01:16:03"
"CATEGORIA C M";"01:16:03"
"CATEGORIA C M";"01:16:04"
"CATEGORIA C F";"01:16:06"
"CATEGORIA C F";"01:16:07"
"CATEGORIA B F";"01:16:08"
"CATEGORIA B F";"01:16:11"
"CATEGORIA C M";"01:16:18"
"CATEGORIA C M";"01:16:20"
"CATEGORIA C M";"01:16:21"
"CATEGORIA B F";"01:16:25"
"CATEGORIA C M";"01:16:30"
"CATEGORIA B F";"01:16:38"
"CATEGORIA B F";"01:16:44"
"CATEGORIA B M";"01:16:49"
"CATEGORIA C F";"01:16:56"
"CATEGORIA C M";"01:16:56"
"CATEGORIA C F";"01:16:58"
"CATEGORIA C M";"01:17:03"
"CATEGORIA C M";"01:17:07"
"CATEGORIA C F";"01:17:08"
"CATEGORIA C F";"01:17:14"
"CATEGORIA B F";"01:17:15"
"CATEGORIA A F";"01:17:17"
"CATEGORIA C M";"01:17:31"
"CATEGORIA B M";"01:17:35"
"CATEGORIA B F";"01:17:37"
"CATEGORIA C F";"01:17:37"
"CATEGORIA C M";"01:17:37"
"CATEGORIA C M";"01:17:47"
"CATEGORIA C F";"01:17:54"
"CATEGORIA C F";"01:17:59"
"CATEGORIA C F";"01:18:04"
"CATEGORIA B F";"01:18:05"
"CATEGORIA B F";"01:18:06"
"CATEGORIA C F";"01:18:10"
"CATEGORIA C F";"01:18:13"
"CATEGORIA C F";"01:18:21"
"CATEGORIA C M";"01:18:24"
"CATEGORIA C M";"01:18:24"
"CATEGORIA C F";"01:18:36"
"CATEGORIA B F";"01:18:42"
"CATEGORIA C F";"01:18:47"
"CATEGORIA C F";"01:18:49"
"CATEGORIA C F";"01:19:08"
"CATEGORIA B M";"01:19:09"
"CATEGORIA B F";"01:19:14"
"CATEGORIA C M";"01:19:32"
"CATEGORIA C F";"01:19:35"
"CATEGORIA B M";"01:19:43"
"CATEGORIA C M";"01:19:51"
"CATEGORIA C F";"01:19:52"
"CATEGORIA C M";"01:19:54"
"CATEGORIA C M";"01:20:04"
"CATEGORIA B M";"01:20:08"
"CATEGORIA B F";"01:20:22"
"CATEGORIA C M";"01:20:23"
"CATEGORIA C F";"01:20:35"
"CATEGORIA C M";"01:20:37"
"CATEGORIA C F";"01:20:48"
"CATEGORIA C M";"01:20:49"
"CATEGORIA C F";"01:21:01"
"CATEGORIA C M";"01:21:57"
"CATEGORIA C M";"01:21:57"
"CATEGORIA C F";"01:22:19"
"CATEGORIA C F";"01:22:25"
"CATEGORIA C F";"01:22:29"
"CATEGORIA B F";"01:22:33"
"CATEGORIA C F";"01:22:39"
"CATEGORIA C F";"01:22:58"
"CATEGORIA A M";"01:23:04"
"CATEGORIA C F";"01:23:07"
"CATEGORIA B M";"01:23:07"
"CATEGORIA C M";"01:23:10"
"CATEGORIA B F";"01:23:14"
"CATEGORIA B F";"01:23:14"
"CATEGORIA C F";"01:23:22"
"CATEGORIA C F";"01:23:26"
"CATEGORIA C M";"01:23:31"
"CATEGORIA C F";"01:23:53"
"CATEGORIA C M";"01:24:00"
"CATEGORIA C F";"01:24:06"
"CATEGORIA C M";"01:24:15"
"CATEGORIA C F";"01:24:38"
"CATEGORIA C M";"01:24:51"
"CATEGORIA C F";"01:24:52"
"CATEGORIA C M";"01:24:55"
"CATEGORIA C M";"01:25:00"
"CATEGORIA C F";"01:25:01"
"CATEGORIA C F";"01:25:12"
"CATEGORIA C M";"01:25:22"
"CATEGORIA C F";"01:25:25"
"CATEGORIA C F";"01:26:03"
"CATEGORIA C M";"01:26:03"
"CATEGORIA C F";"01:26:07"
"CATEGORIA C F";"01:26:17"
"CATEGORIA C F";"01:26:18"
"CATEGORIA A M";"01:26:22"
"CATEGORIA C M";"01:26:31"
"CATEGORIA C M";"01:26:40"
"CATEGORIA C M";"01:26:59"
"CATEGORIA C F";"01:27:08"
"CATEGORIA C F";"01:27:13"
"CATEGORIA C M";"01:27:23"
"CATEGORIA B F";"01:27:26"
"CATEGORIA C M";"01:27:29"
"CATEGORIA B F";"01:27:44"
"CATEGORIA B F";"01:27:54"
"CATEGORIA C M";"01:27:57"
"CATEGORIA C F";"01:27:58"
"CATEGORIA C M";"01:28:00"
"CATEGORIA C M";"01:28:19"
"CATEGORIA C F";"01:28:29"
"CATEGORIA A M";"01:28:45"
"CATEGORIA C F";"01:28:46"
"CATEGORIA C F";"01:28:54"
"CATEGORIA C M";"01:29:15"
"CATEGORIA C F";"01:29:21"
"CATEGORIA C M";"01:29:21"
"CATEGORIA B F";"01:29:23"
"CATEGORIA C F";"01:29:45"
"CATEGORIA C M";"01:29:58"
"CATEGORIA B M";"01:30:07"
"CATEGORIA B M";"01:30:20"
"CATEGORIA B M";"01:30:21"
"CATEGORIA C M";"01:30:23"
"CATEGORIA C F";"01:30:44"
"CATEGORIA C F";"01:30:51"
"CATEGORIA C F";"01:31:04"
"CATEGORIA B M";"01:31:13"
"CATEGORIA C F";"01:31:16"
"CATEGORIA C M";"01:31:22"
"CATEGORIA A M";"01:31:36"
"CATEGORIA C F";"01:31:41"
"CATEGORIA A F";"01:31:43"
"CATEGORIA B M";"01:31:43"
"CATEGORIA C F";"01:32:06"
"CATEGORIA B F";"01:32:23"
"CATEGORIA C F";"01:32:45"
"CATEGORIA C M";"01:32:50"
"CATEGORIA C M";"01:32:57"
"CATEGORIA C M";"01:33:06"
"CATEGORIA C M";"01:33:10"
"CATEGORIA C M";"01:33:10"
"CATEGORIA C M";"01:33:12"
"CATEGORIA B F";"01:33:28"
"CATEGORIA C F";"01:34:48"
"CATEGORIA C M";"01:34:55"
"CATEGORIA B F";"01:35:04"
"CATEGORIA C M";"01:35:20"
"CATEGORIA C M";"01:35:23"
"CATEGORIA C F";"01:35:24"
"CATEGORIA C M";"01:35:25"
"CATEGORIA C M";"01:36:01"
"CATEGORIA C M";"01:36:38"
"CATEGORIA C F";"01:36:43"
"CATEGORIA C M";"01:36:50"
"CATEGORIA B F";"01:36:54"
"CATEGORIA B F";"01:36:55"
"CATEGORIA C M";"01:37:15"
"CATEGORIA C M";"01:37:32"
"CATEGORIA C F";"01:37:37"
"CATEGORIA B M";"01:37:46"
"CATEGORIA C F";"01:37:51"
"CATEGORIA C M";"01:37:55"
"CATEGORIA B M";"01:38:00"
"CATEGORIA C F";"01:38:05"
"CATEGORIA B M";"01:38:12"
"CATEGORIA C M";"01:38:14"
"CATEGORIA A F";"01:38:18"
"CATEGORIA B F";"01:38:18"
"CATEGORIA C F";"01:38:26"
"CATEGORIA C M";"01:38:35"
"CATEGORIA C F";"01:38:48"
"CATEGORIA C M";"01:38:57"
"CATEGORIA C M";"01:39:04"
"CATEGORIA C F";"01:39:10"
"CATEGORIA C M";"01:39:25"
"CATEGORIA C M";"01:39:30"
"CATEGORIA B F";"01:39:34"
"CATEGORIA C F";"01:39:35"
