"categoria";"temps"
"CATEGORIA B M";"00:46:34"
"CATEGORIA C M";"00:46:34"
"CATEGORIA C M";"00:46:37"
"CATEGORIA C M";"00:46:37"
"CATEGORIA C M";"00:46:40"
"CATEGORIA B M";"00:46:44"
"CATEGORIA C M";"00:46:46"
"CATEGORIA B M";"00:46:47"
"CATEGORIA A M";"00:46:51"
"CATEGORIA C M";"00:46:52"
"CATEGORIA B M";"00:46:53"
"CATEGORIA C M";"00:46:53"
"CATEGORIA C M";"00:46:55"
"CATEGORIA C M";"00:46:57"
"CATEGORIA C M";"00:46:59"
"CATEGORIA C M";"00:47:00"
"CATEGORIA C M";"00:47:00"
"CATEGORIA C M";"00:47:04"
"CATEGORIA B M";"00:47:05"
"CATEGORIA B M";"00:47:06"
"CATEGORIA B M";"00:47:10"
"CATEGORIA C M";"00:47:11"
"CATEGORIA C M";"00:47:12"
"CATEGORIA C M";"00:47:12"
"CATEGORIA C M";"00:47:12"
"CATEGORIA C M";"00:47:13"
"CATEGORIA B M";"00:47:13"
"CATEGORIA C M";"00:47:15"
"CATEGORIA C M";"00:47:17"
"CATEGORIA A M";"00:47:19"
"CATEGORIA C M";"00:47:20"
"CATEGORIA C M";"00:47:20"
"CATEGORIA C M";"00:47:22"
"CATEGORIA C M";"00:47:22"
"CATEGORIA C M";"00:47:22"
"CATEGORIA C M";"00:47:27"
"CATEGORIA C M";"00:47:31"
"CATEGORIA C M";"00:47:31"
"CATEGORIA A M";"00:47:32"
"CATEGORIA C M";"00:47:34"
"CATEGORIA C M";"00:47:34"
"CATEGORIA C M";"00:47:35"
"CATEGORIA C M";"00:47:35"
"CATEGORIA C M";"00:47:35"
"CATEGORIA C M";"00:47:36"
"CATEGORIA C M";"00:47:38"
"CATEGORIA C M";"00:47:38"
"CATEGORIA B M";"00:47:40"
"CATEGORIA B M";"00:47:40"
"CATEGORIA C M";"00:47:46"
"CATEGORIA C M";"00:47:47"
"CATEGORIA C M";"00:47:48"
"CATEGORIA C M";"00:47:48"
"CATEGORIA C F";"00:47:53"
"CATEGORIA C M";"00:47:54"
"CATEGORIA C M";"00:47:56"
"CATEGORIA B M";"00:47:57"
"CATEGORIA B M";"00:47:58"
"CATEGORIA C M";"00:47:59"
"CATEGORIA C M";"00:48:01"
"CATEGORIA C M";"00:48:04"
"CATEGORIA A F";"00:48:08"
"CATEGORIA C M";"00:48:12"
"CATEGORIA C M";"00:48:13"
"CATEGORIA C M";"00:48:15"
"CATEGORIA C M";"00:48:18"
"CATEGORIA B M";"00:48:22"
"CATEGORIA B M";"00:48:22"
"CATEGORIA B M";"00:48:24"
"CATEGORIA B M";"00:48:27"
"CATEGORIA B M";"00:48:32"
"CATEGORIA C M";"00:48:34"
"CATEGORIA A M";"00:48:35"
"CATEGORIA A M";"00:48:36"
"CATEGORIA B M";"00:48:37"
"CATEGORIA C M";"00:48:38"
"CATEGORIA C M";"00:48:40"
"CATEGORIA C M";"00:48:41"
"CATEGORIA C M";"00:48:44"
"CATEGORIA B M";"00:48:44"
"CATEGORIA C M";"00:48:44"
"CATEGORIA B F";"00:48:45"
"CATEGORIA C M";"00:48:47"
"CATEGORIA C F";"00:48:52"
"CATEGORIA C M";"00:48:52"
"CATEGORIA C M";"00:48:54"
"CATEGORIA C M";"00:48:54"
"CATEGORIA A M";"00:48:56"
"CATEGORIA C M";"00:48:57"
"CATEGORIA C M";"00:48:58"
"CATEGORIA B M";"00:48:58"
"CATEGORIA C M";"00:48:59"
"CATEGORIA C F";"00:49:01"
"CATEGORIA C M";"00:49:02"
"CATEGORIA C M";"00:49:02"
"CATEGORIA C M";"00:49:02"
"CATEGORIA C M";"00:49:04"
"CATEGORIA C M";"00:49:04"
"CATEGORIA C F";"00:49:05"
"CATEGORIA C M";"00:49:07"
"CATEGORIA C M";"00:49:08"
"CATEGORIA B M";"00:49:09"
"CATEGORIA C M";"00:49:10"
"CATEGORIA B M";"00:49:10"
"CATEGORIA C M";"00:49:10"
"CATEGORIA C F";"00:49:11"
"CATEGORIA C M";"00:49:17"
"CATEGORIA C M";"00:49:20"
"CATEGORIA C M";"00:49:21"
"CATEGORIA B M";"00:49:21"
"CATEGORIA C M";"00:49:23"
"CATEGORIA C F";"00:49:29"
"CATEGORIA C M";"00:49:32"
"CATEGORIA C M";"00:49:34"
"CATEGORIA B M";"00:49:34"
"CATEGORIA C M";"00:49:36"
"CATEGORIA C M";"00:49:37"
"CATEGORIA C M";"00:49:37"
"CATEGORIA C M";"00:49:37"
"CATEGORIA C M";"00:49:38"
"CATEGORIA C M";"00:49:39"
"CATEGORIA C M";"00:49:43"
"CATEGORIA B F";"00:49:44"
"CATEGORIA C M";"00:49:44"
"CATEGORIA C M";"00:49:44"
"CATEGORIA C M";"00:49:45"
"CATEGORIA C M";"00:49:47"
"CATEGORIA C M";"00:49:47"
"CATEGORIA B M";"00:49:48"
"CATEGORIA C M";"00:49:48"
"CATEGORIA C M";"00:49:49"
"CATEGORIA C M";"00:49:52"
"CATEGORIA A M";"00:49:52"
"CATEGORIA B M";"00:49:52"
"CATEGORIA C M";"00:49:52"
"CATEGORIA C M";"00:49:55"
"CATEGORIA C M";"00:49:58"
"CATEGORIA C M";"00:49:58"
"CATEGORIA B M";"00:49:59"
"CATEGORIA A M";"00:49:59"
"CATEGORIA C F";"00:50:03"
"CATEGORIA B F";"00:50:04"
"CATEGORIA C M";"00:50:05"
"CATEGORIA C M";"00:50:06"
"CATEGORIA C M";"00:50:07"
"CATEGORIA C M";"00:50:09"
"CATEGORIA B M";"00:50:10"
"CATEGORIA C M";"00:50:11"
"CATEGORIA C F";"00:50:13"
"CATEGORIA C M";"00:50:15"
"CATEGORIA B M";"00:50:17"
"CATEGORIA C M";"00:50:19"
"CATEGORIA C M";"00:50:19"
"CATEGORIA C M";"00:50:21"
"CATEGORIA B M";"00:50:21"
"CATEGORIA C F";"00:50:22"
"CATEGORIA C M";"00:50:22"
"CATEGORIA C M";"00:50:24"
"CATEGORIA C M";"00:50:24"
"CATEGORIA C M";"00:50:27"
"CATEGORIA C M";"00:50:27"
"CATEGORIA C M";"00:50:27"
